edge_id,roi_i_107space,roi_j_107space,n_subjects,mean_delta_str,median_delta_str,sd_delta_str,t_obs,parametric_t_p_two_sided_reference,n_positive_subjects,n_negative_subjects,n_zero_subjects,cohen_dz,p_perm_t_two_sided,p_perm_t_greater_reference,p_perm_t_FWER_maxT_reference,p_perm_mean_two_sided_reference,q_BH_FDR_t_two_sided,q_BH_FDR_mean_two_sided_reference,FDR05_significant_t,FDR10_significant_t,positive_mean_delta,negative_mean_delta,FDR05_significant_positive_t,FDR05_significant_negative_t,roi_i_roi_label,roi_i_region_label,roi_j_roi_label,roi_j_region_label,network_pair,network17_pair,bootstrap_CI_low_top_edges_only,bootstrap_CI_high_top_edges_only
030__058,30,58,13,0.079791128,0.059135714,0.112133594,2.565609406,0.024744754,10,3,0,0.71157202,0.023681641,0.01184082,1,0.023681641,0.173286214,0.173286214,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_030,ROI_030,ROI_058,ROI_058,Unknown - Unknown,Unknown - Unknown,,
011__080,11,80,13,0.079777489,0.107225579,0.118784875,2.421535806,0.032226941,10,3,0,0.671613193,0.03515625,0.017578125,1,0.03515625,0.185790567,0.185790567,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_011,ROI_011,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,,
062__075,62,75,13,0.079745636,0.076844932,0.084148382,3.416904426,0.00510769,11,2,0,0.947678778,0.004394531,0.002197266,0.990234375,0.004394531,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_062,ROI_062,ROI_075,ROI_075,Unknown - Unknown,Unknown - Unknown,0.036628447,0.124676481
007__094,7,94,13,0.07971608,0.105263531,0.10038239,2.863255338,0.01426735,11,2,0,0.794124149,0.018554688,0.009277344,1,0.018554688,0.171145286,0.171145286,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_094,ROI_094,Unknown - Unknown,Unknown - Unknown,,
014__077,14,77,13,0.079677603,0.099456525,0.091309397,3.146244471,0.008433542,11,2,0,0.872611213,0.010498047,0.005249023,0.999267578,0.010498047,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_014,ROI_014,ROI_077,ROI_077,Unknown - Unknown,Unknown - Unknown,,
014__016,14,16,13,0.079657223,0.056973552,0.076876199,3.735983387,0.00284272,12,1,0,1.036175359,0.000732422,0.000366211,0.94921875,0.000732422,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_014,ROI_014,ROI_016,ROI_016,Unknown - Unknown,Unknown - Unknown,0.042349347,0.123290174
004__052,4,52,13,0.079566902,0.117442237,0.125348581,2.288678027,0.041029512,8,5,0,0.634765075,0.043701172,0.021850586,1,0.043701172,0.195294993,0.195294993,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_004,ROI_004,ROI_052,ROI_052,Unknown - Unknown,Unknown - Unknown,,
004__013,4,13,13,0.079499079,0.068474024,0.076895902,3.727610948,0.002886485,11,2,0,1.033853262,0.004882813,0.002441406,0.952880859,0.004882813,0.149677998,0.149677998,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_004,ROI_004,ROI_013,ROI_013,Unknown - Unknown,Unknown - Unknown,0.038560228,0.118842523
004__060,4,60,13,0.079493144,0.074699813,0.098503887,2.909698434,0.013088402,11,2,0,0.807005146,0.015625,0.0078125,0.999755859,0.015625,0.166558976,0.166558976,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_004,ROI_004,ROI_060,ROI_060,Unknown - Unknown,Unknown - Unknown,,
009__101,9,101,13,0.079469117,0.06009858,0.104437205,2.743562293,0.017813438,10,3,0,0.760927271,0.018554688,0.009277344,1,0.018554688,0.171145286,0.171145286,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_009,ROI_009,ROI_101,ROI_101,Unknown - Unknown,Unknown - Unknown,,
050__060,50,60,13,0.079462546,0.096949012,0.099337551,2.884168978,0.013723939,11,2,0,0.799924549,0.017333984,0.008666992,1,0.017333984,0.171145286,0.171145286,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_050,ROI_050,ROI_060,ROI_060,Unknown - Unknown,Unknown - Unknown,,
018__080,18,80,13,0.079423524,0.098358972,0.092254774,3.104073373,0.009120713,11,2,0,0.860915055,0.011230469,0.005615234,0.999511719,0.011230469,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_018,ROI_018,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,,
007__008,7,8,13,0.079250105,0.125931721,0.103039176,2.773123086,0.016864002,10,3,0,0.76912596,0.021240234,0.010620117,1,0.021240234,0.171858315,0.171858315,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_008,ROI_008,Unknown - Unknown,Unknown - Unknown,,
041__080,41,80,13,0.07918793,0.09158715,0.081235276,3.514681731,0.004264983,10,3,0,0.974797323,0.004882813,0.002441406,0.983886719,0.004882813,0.149677998,0.149677998,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_041,ROI_041,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,0.037007686,0.121819704
019__059,19,59,13,0.079163739,0.046424947,0.086732226,3.290921184,0.006448301,11,2,0,0.912737313,0.001953125,0.000976563,0.995117188,0.001953125,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_019,ROI_019,ROI_059,ROI_059,Unknown - Unknown,Unknown - Unknown,0.038036617,0.128388097
075__083,75,83,13,0.079004705,0.094609398,0.11278575,2.525633921,0.026632178,9,4,0,0.700484816,0.027099609,0.013549805,1,0.027099609,0.177461761,0.177461761,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_075,ROI_075,ROI_083,ROI_083,Unknown - Unknown,Unknown - Unknown,,
