tau,metric,metric_label,n,mean_pre,mean_post,mean_delta,median_delta,sd_delta,bootstrap_CI_low,bootstrap_CI_high,cohen_dz,paired_t,paired_t_p,wilcoxon_p,signflip_perm_p,n_positive_delta,n_negative_delta,n_zero_delta
2,global_redundancy_transfer_rtr,"Redundancy transfer, rtr",13,0.0059819098875387566,0.0068417658641937145,0.0008598559766549579,0.00043529218861519496,0.0015894806089055428,3.5166547154082325e-05,0.0016845498296213495,0.54096663516205,1.950482941391992,0.07486472216235106,0.057373046875,0.07579641157085316,10,3,0
2,global_synergy_transfer_str,"Synergistic transfer, str",13,0.0873982958014583,0.10323923407837142,0.015840938276913134,0.015685491686399086,0.015406186759358143,0.008044011796458535,0.02397027408490059,1.0282192812761348,3.7072973410618344,0.002995562698914096,0.00341796875,0.002807274502624191,11,2,0
2,global_synergy_minus_redundancy,"Synergy-minus-redundancy balance, str-rtr",13,0.08141638591391955,0.09639746821417772,0.014981082300258174,0.01525019949778389,0.014657609159970228,0.007461769588384701,0.022679988608212773,1.022068615471843,3.685120800126217,0.003119477169894868,0.004638671875,0.0035396069815696327,11,2,0
3,global_redundancy_transfer_rtr,"Redundancy transfer, rtr",13,0.001788360603716003,0.0021847771029067094,0.00039641649919070653,0.00033774960473048946,0.0006136221110725845,7.776383498884314e-05,0.0007190045454818386,0.6460270776386918,2.3292837537644586,0.03811992486913352,0.057373046875,0.042353228365678015,9,4,0
3,global_synergy_transfer_str,"Synergistic transfer, str",13,0.004723786874308493,0.005799463975955581,0.0010756771016470876,0.0007946575642453755,0.0014369158320217358,0.0003593350435779436,0.001865043985966899,0.7486013290935861,2.6991204769274173,0.019340811419327888,0.026611328125,0.016477480776272427,10,3,0
3,global_synergy_minus_redundancy,"Synergy-minus-redundancy balance, str-rtr",13,0.00293542627059249,0.003614686873048871,0.0006792606024563814,0.0007655699752913579,0.0009958508989161311,0.00018895099931344646,0.001233203566913223,0.6820906655762206,2.459312869250424,0.030076276924948905,0.01708984375,0.02111558647626022,10,3,0
