subject,mean_rtr_pre,mean_rtr_post,mean_rtr_delta,mean_str_pre,mean_str_post,mean_str_delta,mean_balance_pre,mean_balance_post,mean_balance_delta
1,0.019404123927180036,0.01548978186614578,-0.003914342061034258,0.5494981610422781,0.5584310747589256,0.008932913716647525,0.5300940371150981,0.5429412928927798,0.012847255777681784
2,0.016447764604700568,0.02355303787365159,0.007105273268951027,0.5630766199403486,0.5397945233889819,-0.023282096551366635,0.5466288553356481,0.5162414855153304,-0.030387369820317665
3,0.01658284304383232,0.0174546407458087,0.0008717977019763816,0.5497998718154871,0.5695618135429035,0.019761941727416285,0.5332170287716549,0.5521071727970948,0.018890144025439905
4,0.018248022797618463,0.020842409431814035,0.00259438663419557,0.49716182656934443,0.5871096431474745,0.08994781657812997,0.478913803771726,0.5662672337156605,0.0873534299439344
5,0.014156263130129597,0.014003775618622403,-0.00015248751150719452,0.5399668356319893,0.5508735760050962,0.010906740373106915,0.5258105725018598,0.5368698003864739,0.01105922788461411
6,0.015514142868480399,0.014781603720797811,-0.0007325391476825869,0.5549775943536296,0.6080083926924008,0.05303079833877123,0.5394634514851493,0.5932267889716031,0.05376333748645382
7,0.01380272059425302,0.016778961936715336,0.0029762413424623156,0.49299412443180995,0.5351161181190466,0.042121993687236625,0.47919140383755693,0.5183371561823312,0.03914575234477431
8,0.015095641638400539,0.013525055694285667,-0.0015705859441148707,0.47464025843111646,0.5729015156253527,0.09826125719423628,0.4595446167927159,0.559376459931067,0.09983184313835115
9,0.011470595564530912,0.018993528508753802,0.007522932944222888,0.561111413660642,0.6135844029463113,0.0524729892856694,0.549640818096111,0.5945908744375575,0.04495005634144651
10,0.01057298561914827,0.014058486381718182,0.0034855007625699125,0.46555623688269937,0.6025549043175088,0.1369986674348094,0.45498325126355116,0.5884964179357907,0.13351316667223947
11,0.015937091244192687,0.014012618897170924,-0.0019244723470217646,0.5502161315254407,0.5539587190089218,0.0037425874834810897,0.5342790402812481,0.5399461001117509,0.0056670598305028535
12,0.016293551432483764,0.015790728944810664,-0.0005028224876730996,0.5780334799384649,0.5783197000161786,0.00028622007771375184,0.5617399285059811,0.562528971071368,0.0007890425653868518
13,0.0154869841438845,0.015509396425903073,2.241228201857065e-05,0.5681334246104803,0.6071793612630338,0.0390459366525536,0.5526464404665957,0.5916699648371309,0.03902352437053503
