metric_id,metric_label,role,n,shapiro_W_delta,shapiro_p_delta,mean_delta,median_delta,sd_delta,n_positive_delta,n_negative_delta,n_exact_zero_delta
rtr,Redundancy transfer,secondary,13,0.9335094846146315,0.37848683266281746,0.0012139458028740827,2.241228201857065e-05,0.0034000612603132087,7,6,0
str,Synergistic transfer,primary,13,0.9408917967875646,0.4685538097268739,0.04094059738449269,0.0390459366525536,0.04540076857084264,12,1,0
balance,Synergy-minus-redundancy balance,secondary_confirmatory,13,0.9486319060052123,0.5777113729580163,0.03972665158161863,0.039023524370535,0.04515957922838185,12,1,0
