metric_id,metric_label,metric_symbol,role,n,mean_pre,mean_post,mean_delta,median_delta,sd_delta,min_delta,max_delta,bootstrap_CI_low,bootstrap_CI_high,cohen_dz,hedges_gz_small_sample_corrected,paired_t,paired_t_p_two_sided,wilcoxon_pratt_stat,wilcoxon_pratt_p_two_sided,wilcoxon_zsplit_stat,wilcoxon_zsplit_p_two_sided,wilcoxon_wilcox_stat_reference,wilcoxon_wilcox_p_two_sided_reference,wilcoxon_pratt_p_greater_reference_not_primary,signflip_perm_p_two_sided,signflip_perm_p_greater_reference_not_primary,shapiro_W_delta,shapiro_p_delta,n_positive_delta,n_negative_delta,n_exact_zero_delta,n_abs_delta_le_1e-12,n_abs_delta_le_1e-08,n_abs_delta_le_1e-06,n_abs_delta_le_1e-05,n_abs_delta_le_0.0001,signflip_perm_p_two_sided_BH_q_across_3_global_metrics,signflip_perm_p_two_sided_Bonferroni_p_across_3_global_metrics,wilcoxon_pratt_p_two_sided_BH_q_across_3_global_metrics,wilcoxon_pratt_p_two_sided_Bonferroni_p_across_3_global_metrics,wilcoxon_zsplit_p_two_sided_BH_q_across_3_global_metrics,wilcoxon_zsplit_p_two_sided_Bonferroni_p_across_3_global_metrics,paired_t_p_two_sided_BH_q_across_3_global_metrics,paired_t_p_two_sided_Bonferroni_p_across_3_global_metrics
rtr,Redundancy transfer,rtr,secondary,13,0.015308671585294956,0.016522617388169028,0.0012139458028740827,2.241228201857065e-05,0.0034000612603132087,-0.0039143420610342,0.0075229329442228,-0.0005059435273696784,0.003029802367119855,0.35703645020862235,0.33424688955700815,1.2873132284368334,0.2222604968048204,33.0,0.414306640625,33.0,0.414306640625,33.0,0.414306640625,0.2071533203125,0.23129500793360186,0.11570853167337972,0.9335094846146315,0.37848683266281746,7,6,0,0,0,0,0,1,0.2312950079336019,0.6938850238008056,0.414306640625,1.0,0.414306640625,1.0,0.2222604968048204,0.6667814904144612
str,Synergistic transfer,str,primary,13,0.5342435368333639,0.5751841342178566,0.04094059738449269,0.0390459366525536,0.04540076857084264,-0.0232820965513666,0.1369986674348094,0.01838480305163108,0.06602667251496686,0.90176000700538,0.8442008576220579,3.251341943420664,0.0069391419162089735,6.0,0.00341796875,6.0,0.00341796875,6.0,0.00341796875,0.001708984375,0.004271939460515074,0.0021969974368363236,0.9408917967875646,0.4685538097268739,12,1,0,0,0,0,0,0,0.008238740388136214,0.012815818381545222,0.005126953125,0.01025390625,0.005126953125,0.01025390625,0.012064385594485548,0.02081742574862692
balance,Synergy-minus-redundancy balance,str - rtr,secondary_confirmatory,13,0.5189348652480689,0.5586615168296876,0.03972665158161863,0.039023524370535,0.04515957922838185,-0.0303873698203176,0.1335131666722394,0.017175431773763922,0.0642988687184299,0.8796949010687695,0.8235441627026778,3.1717850725676704,0.008042923729657031,6.0,0.00341796875,6.0,0.00341796875,6.0,0.00341796875,0.001708984375,0.005492493592090809,0.002807274502624191,0.9486319060052123,0.5777113729580163,12,1,0,0,0,0,0,0,0.008238740388136214,0.016477480776272427,0.005126953125,0.01025390625,0.005126953125,0.01025390625,0.012064385594485548,0.024128771188971096
