metric_id,metric_label,role,signflip_perm_p_two_sided,signflip_perm_p_two_sided_BH_q_across_3_global_metrics,signflip_perm_p_two_sided_Bonferroni_p_across_3_global_metrics,wilcoxon_pratt_p_two_sided,wilcoxon_pratt_p_two_sided_BH_q_across_3_global_metrics,wilcoxon_pratt_p_two_sided_Bonferroni_p_across_3_global_metrics
rtr,Redundancy transfer,secondary,0.23129500793360186,0.2312950079336019,0.6938850238008056,0.414306640625,0.414306640625,1.0
str,Synergistic transfer,primary,0.004271939460515074,0.008238740388136214,0.012815818381545222,0.00341796875,0.005126953125,0.01025390625
balance,Synergy-minus-redundancy balance,secondary_confirmatory,0.005492493592090809,0.008238740388136214,0.016477480776272427,0.00341796875,0.005126953125,0.01025390625
